age_actual,proxy_age,proxy_age_status,prob_female,prob_male,prob_female_age,prob_male_age,proxy_gender,proxy_gender_status,proxy_gender_method,gender_threshold,bisgAian,bisgApi,bisgBlack,bisgHispanic,bisgMulti,bisgWhite,prob_minority,proxy_minority,proxy_race,proxy_race_method,race_threshold,proxy_race_status
24.0,<62,Unprotected,0.008432306071945403,0.9915676939280544,0.007247877407330711,0.9927521225926692,Male,Unprotected,firstname_age,0.8,0.003465848624859255,0.00014368080942119625,0.11741452302161197,0.0037327066165219105,0.005727281558942631,0.8695159593686432,0.13048404063135696,low,White,bisg,0.0,Unprotected
28.0,<62,Unprotected,0.006151331557399593,0.9938486684426004,0.0069467693337797115,0.9930532306662204,Male,Unprotected,firstname_age,0.8,0.004181065018156022,0.0005277056374391699,0.0042100852412688475,0.004297322422704139,0.006297150187261029,0.9804866714931707,0.019513328506829207,low,White,bisg,0.0,Unprotected
71.0,62+,Protected,0.987035749506186,0.012964250493813872,0.9912226859808496,0.008777314019150505,Female,Protected,firstname_age,0.8,0.002655710435409874,0.002406365642327284,0.7649717360451151,0.033057440298949366,0.011401246793635893,0.18550750078456227,0.8144924992154375,high,Black,bisg,0.0,Protected
46.0,<62,Unprotected,0.004793587884289652,0.9952064121157104,0.004037685060565276,0.9959623149394348,Male,Unprotected,firstname_age,0.8,0.0021641526711861985,0.002966120252047792,0.019929187721271144,0.009344904420061185,0.006936043203891534,0.958659591731542,0.04134040826845785,low,White,bisg,0.0,Unprotected
58.0,<62,Unprotected,0.9956489115200022,0.004351088479997736,0.9955285851165762,0.004471414883423825,Female,Protected,firstname_age,0.8,0.004378480879456274,0.000736666032286962,0.8391040609959252,0.00781413714876898,0.00685547093147681,0.141111184012086,0.8588888159879141,high,Black,bisg,0.0,Protected
30.0,<62,Unprotected,1.0,0.0,1.0,0.0,Female,Protected,firstname_age,0.8,0.0015034079869405798,0.0004542370594464925,0.8892709432428659,0.004571636604513189,0.00450364631055795,0.0996961287956759,0.9003038712043242,high,Black,bisg,0.0,Protected
61.0,<62,Unprotected,0.9977703355056722,0.002229664494327782,0.9981239056116068,0.0018760943883932293,Female,Protected,firstname_age,0.8,0.0030832268665898855,0.0005231824353750064,0.0031111610374810806,0.0023665731512177777,0.005770805413730844,0.9851450510956054,0.014854948904394594,low,White,bisg,0.0,Unprotected
33.0,<62,Unprotected,0.0,1.0,,,Unknown,Unknown,firstname_age,0.8,0.0008279460663644981,0.008611040021649096,0.010937335669334585,0.9654482535810258,0.0015622172048423114,0.012613207456783725,0.9873867925432163,high,Hispanic,bisg,0.0,Protected
49.0,<62,Unprotected,0.14607901605073648,0.8539209839492635,0.1406147809025507,0.8593852190974494,Male,Unprotected,firstname_age,0.8,0.003365692503949763,0.0015592946456767175,0.000497533101270463,0.006195974611464473,0.003537719648501018,0.9848437854891376,0.015156214510862433,low,White,bisg,0.0,Unprotected
23.0,<62,Unprotected,0.0028165922891213693,0.9971834077108788,0.0,1.0,Male,Unprotected,firstname_age,0.8,0.007832314998453917,0.0038691962035989767,0.0019761297044758254,0.8428424347705765,0.005770174467058668,0.137709749855836,0.8622902501441638,high,Hispanic,bisg,0.0,Protected
61.0,<62,Unprotected,0.003975827657169774,0.9960241723428302,0.002483533095777993,0.997516466904222,Male,Unprotected,firstname_age,0.8,0.0021216173236632183,0.0034500948937324816,0.8524940538076887,0.014709984056051013,0.007853820091155067,0.11937042982770965,0.8806295701722906,high,Black,bisg,0.0,Protected
40.0,<62,Unprotected,0.0051796904295765,0.9948203095704236,0.005512346145133278,0.9944876538548668,Male,Unprotected,firstname_age,0.8,0.002543401260781935,0.0027659256973305312,0.08054772821203125,0.012819219898862005,0.006968111447558465,0.8943556134834356,0.10564438651656419,low,White,bisg,0.0,Unprotected
26.0,<62,Unprotected,0.046875,0.953125,0.0,1.0,Male,Unprotected,firstname_age,0.8,0.0008606873489664287,0.0007112294744966461,0.7980541842750921,0.004001150658108453,0.007612446550662569,0.1887603016926737,0.8112396983073262,high,Black,bisg,0.0,Protected
