proxy_age,proxy_age_status,prob_female,prob_male,prob_female_age,prob_male_age,proxy_gender,proxy_gender_status,proxy_gender_method,gender_threshold,bisgAian,bisgApi,bisgBlack,bisgHispanic,bisgMulti,bisgWhite,prob_minority,proxy_minority,proxy_race,proxy_race_status,proxy_race_method,race_threshold,bifsgAian,bifsgApi,bifsgBlack,bifsgHispanic,bifsgMulti,bifsgWhite,age_actual
<62,Unprotected,0.9968605953560504,0.003139404643949511,,,female,Protected,firstname_age,0.8,0.003088761843324981,8.073018865651028e-05,0.00010886917312823376,0.0006249537515066049,0.0016226322763042878,0.9944740527670792,0.005525947232920618,low,White,Unprotected,bisg,0.8,,,,,,,28.0
<62,Unprotected,0.004538935960346996,0.995461064039653,,,male,Unprotected,firstname_age,0.8,0.00407449294960636,0.0007103049341538133,0.0429234880208895,0.002972623660123269,0.005930747748743359,0.9433883426864836,0.05661165731351631,low,White,Unprotected,bisg,0.8,,,,,,,35.0
<62,Unprotected,0.8515443679134127,0.14845563208658724,,,female,Protected,firstname_age,0.8,0.0013926692314021776,0.00041890748772120716,0.0017068693640956295,0.0011768493283900588,0.003202832708879434,0.9921018718795116,0.007898128120488507,low,White,Unprotected,bisg,0.8,,,,,,,50.0
<62,Unprotected,0.0004718761796904493,0.9995281238203096,,,male,Unprotected,firstname_age,0.8,0.0032092121079055017,0.002001044781315253,0.005176277447879836,0.016677771253430368,0.0016966624156003769,0.9712390319938689,0.028760968006131336,low,White,Unprotected,bisg,0.8,,,,,,,49.0
<62,Unprotected,0.0027744843443240678,0.997225515655676,,,male,Unprotected,firstname_age,0.8,,,,,,,0.0,low,Unknown,Unknown,bisg,0.8,,,,,,,44.0
<62,Unprotected,0.9965410663235346,0.003458933676465445,,,female,Protected,firstname_age,0.8,0.0,0.007690703595353056,0.0,0.004314496870894904,0.002712098969230774,0.9852827005645212,0.014717299435478734,low,White,Unprotected,bisg,0.8,,,,,,,26.0
<62,Unprotected,1.0,0.0,,,female,Protected,firstname_age,0.8,0.016777051326096328,0.02196941860921131,0.003676332614524864,0.5095916383229544,0.008384050140789587,0.4396015089864234,0.5603984910135765,low,Unknown,Unknown,bisg,0.8,,,,,,,22.0
<62,Unprotected,0.004887556881049911,0.99511244311895,,,male,Unprotected,firstname_age,0.8,,,,,,,0.0,low,Unknown,Unknown,bisg,0.8,,,,,,,43.0
<62,Unprotected,0.004600095890336978,0.9953999041096632,,,male,Unprotected,firstname_age,0.8,0.0001137629968372332,0.0008230144527271777,4.4396884539494974e-05,0.0014981940331241686,0.002936736634210791,0.9945838949985611,0.005416105001438866,low,White,Unprotected,bisg,0.8,,,,,,,49.0
62+,Protected,0.0037062756523082853,0.9962937243476916,,,male,Unprotected,firstname_age,0.8,0.007846864984047115,0.004396142592251047,0.003670609678139361,0.0017347108353159856,0.010826181810568115,0.9715254900996784,0.028474509900321625,low,White,Unprotected,bisg,0.8,,,,,,,69.0
<62,Unprotected,0.004218807920068669,0.9957811920799312,,,male,Unprotected,firstname_age,0.8,0.08865425798375669,0.033163672677822484,0.006888356319566554,0.05200366186171263,0.03667554673911391,0.7826145044180277,0.21738549558197226,low,Unknown,Unknown,bisg,0.8,,,,,,,42.0
62+,Protected,0.008920253809783278,0.9910797461902168,,,male,Unprotected,firstname_age,0.8,0.0022166544408148327,0.002467288030495972,0.0005055583121480081,0.002741510129333117,0.0025679332125763217,0.9895010558746316,0.010498944125368257,low,White,Unprotected,bisg,0.8,,,,,,,63.0
<62,Unprotected,0.004561060038588129,0.995438939961412,,,male,Unprotected,firstname_age,0.8,0.001721073951062196,0.003997120855182906,0.0003383373764280815,0.001254754484077074,0.005354447093662141,0.9873342662395876,0.012665733760412398,low,White,Unprotected,bisg,0.8,,,,,,,33.0
<62,Unprotected,0.0045558944237358324,0.9954441055762642,,,male,Unprotected,firstname_age,0.8,0.0028718559314927523,0.0016674407322483196,0.00024464435146503137,0.0019565141941004613,0.00630274057626091,0.9869568042144324,0.013043195785567473,low,White,Unprotected,bisg,0.8,,,,,,,40.0
<62,Unprotected,0.9965122905511667,0.003487709448833168,,,female,Protected,firstname_age,0.8,0.003730496375234511,0.001494677316366997,0.04104915252449013,0.0039800705307654295,0.015674517329405432,0.9340710859237374,0.0659289140762625,low,White,Unprotected,bisg,0.8,,,,,,,34.0
<62,Unprotected,0.02831947704389409,0.971680522956106,,,male,Unprotected,firstname_age,0.8,0.0002468942149849906,0.00014906129167011246,0.00015246345039204555,0.000515421964621846,0.0024365464982394947,0.9964996125800916,0.0035003874199084893,low,White,Unprotected,bisg,0.8,,,,,,,31.0
<62,Unprotected,1.0,0.0,,,female,Protected,firstname_age,0.8,0.0005285562237817802,0.054811235851014016,0.0009058291201666348,0.9276094176416816,0.0027433998994767558,0.01340156126387916,0.986598438736121,high,Hispanic,Protected,bisg,0.8,,,,,,,26.0
<62,Unprotected,0.02012158176140412,0.9798784182385959,,,male,Unprotected,firstname_age,0.8,0.005719875752793616,8.736152562565577e-05,0.0,0.00022508221278253905,0.0,0.9939676805087979,0.0060323194912018105,low,White,Unprotected,bisg,0.8,,,,,,,35.0
<62,Unprotected,0.1801470588235294,0.8198529411764706,,,male,Unprotected,firstname_age,0.8,0.0,0.0008917802382606023,0.0,0.0010372127654637957,0.004164852481414765,0.9939061545148608,0.006093845485139163,low,White,Unprotected,bisg,0.8,,,,,,,55.0
<62,Unprotected,0.9884570385403172,0.011542961459682756,,,female,Protected,firstname_age,0.8,,,,,,,0.0,low,Unknown,Unknown,bisg,0.8,,,,,,,61.0
<62,Unprotected,0.004222974444384436,0.9957770255556156,,,male,Unprotected,firstname_age,0.8,0.0019442436191414653,0.018864543897211664,0.0024173527154887835,0.0033825975972071693,0.0124429615513756,0.9609483006195754,0.03905169938042469,low,White,Unprotected,bisg,0.8,,,,,,,23.0
<62,Unprotected,0.003628940802903153,0.9963710591970968,,,male,Unprotected,firstname_age,0.8,0.007788012148875853,0.0005891334378527488,0.028050307141745855,0.004837886057222928,0.009993124358541949,0.9487415368557608,0.05125846314423933,low,White,Unprotected,bisg,0.8,,,,,,,18.0
<62,Unprotected,0.9971010181282584,0.002898981871741636,,,female,Protected,firstname_age,0.8,0.0009709010352804133,0.0005815042423664711,0.000222543178142408,0.0005679704750458197,0.003830424248810221,0.9938266568203548,0.006173343179645333,low,White,Unprotected,bisg,0.8,,,,,,,34.0
<62,Unprotected,0.014910346446285075,0.9850896535537148,,,male,Unprotected,firstname_age,0.8,0.0036815282922769634,0.008083771649519051,0.016461291492852255,0.8985751151668356,0.003016871816804365,0.07018142158171173,0.9298185784182882,high,Hispanic,Protected,bisg,0.8,,,,,,,32.0
